iter	Passed	Remaining
0	162	162555
1	163	81770
2	164	54803
3	166	41334
4	167	33243
5	167	27802
6	168	23927
7	169	21015
8	170	18740
9	171	16943
10	172	15476
11	172	14227
12	173	13161
13	174	12256
14	174	11471
15	175	10786
16	176	10189
17	177	9663
18	177	9176
19	178	8740
20	179	8349
21	179	7998
22	180	7673
23	181	7369
24	181	7090
25	182	6839
26	183	6603
27	183	6384
28	184	6183
29	185	5995
30	186	5815
31	186	5646
32	187	5493
33	188	5347
34	188	5210
35	189	5081
36	190	4953
37	191	4837
38	191	4727
39	192	4625
40	193	4523
41	194	4426
42	194	4333
43	195	4244
44	196	4163
45	196	4083
46	197	4007
47	198	3933
48	199	3864
49	200	3801
50	200	3739
51	201	3678
52	202	3618
53	203	3560
54	204	3505
55	204	3453
56	205	3402
57	206	3352
58	207	3304
59	207	3257
60	208	3212
61	209	3171
62	210	3129
63	211	3087
64	211	3046
65	212	3007
66	213	2975
67	214	2939
68	215	2904
69	215	2868
70	216	2833
71	217	2801
72	218	2769
73	218	2737
74	219	2709
75	220	2684
76	221	2655
77	222	2627
78	222	2599
79	223	2571
80	224	2545
81	225	2519
82	225	2490
83	226	2470
84	227	2447
85	228	2424
86	228	2400
87	229	2377
88	230	2356
89	230	2335
90	231	2314
91	232	2294
92	233	2276
93	234	2257
94	234	2238
95	235	2219
96	236	2200
97	237	2182
98	237	2163
99	238	2147
100	239	2129
101	239	2112
102	240	2095
103	241	2078
104	241	2062
105	242	2045
106	243	2028
107	243	2012
108	244	1996
109	245	1982
110	245	1968
111	246	1953
112	246	1938
113	247	1923
114	248	1909
115	248	1895
116	249	1881
117	249	1867
118	250	1853
119	251	1841
120	251	1828
121	252	1814
122	252	1801
123	253	1789
124	253	1777
125	254	1765
126	255	1753
127	255	1741
128	256	1729
129	256	1718
130	257	1707
131	258	1697
132	258	1686
133	259	1676
134	260	1666
135	260	1656
136	261	1647
137	262	1637
138	262	1627
139	263	1619
140	264	1609
141	264	1598
142	265	1588
143	265	1579
144	266	1570
145	266	1560
146	267	1551
147	267	1542
148	268	1533
149	269	1524
150	269	1516
151	270	1508
152	271	1500
153	271	1492
154	272	1483
155	272	1475
156	273	1467
157	274	1460
158	274	1452
159	275	1444
160	275	1435
161	276	1428
162	276	1421
163	277	1414
164	277	1406
165	278	1399
166	279	1392
167	279	1385
168	280	1378
169	280	1371
170	281	1365
171	282	1360
172	283	1353
173	283	1347
174	284	1341
175	285	1334
176	285	1327
177	286	1321
178	286	1315
179	287	1308
180	288	1303
181	288	1297
182	289	1291
183	289	1285
184	290	1279
185	291	1273
186	291	1267
187	292	1261
188	292	1256
189	293	1250
190	293	1244
191	294	1239
192	295	1234
193	296	1230
194	296	1226
195	297	1221
196	298	1216
197	299	1211
198	299	1206
199	300	1202
200	301	1197
201	301	1192
202	302	1187
203	303	1182
204	303	1177
205	304	1172
206	304	1167
207	305	1162
208	305	1157
209	306	1152
210	307	1148
211	307	1144
212	308	1140
213	309	1135
214	309	1131
215	310	1126
216	311	1122
217	311	1118
218	312	1113
219	313	1109
220	313	1106
221	314	1102
222	315	1098
223	315	1094
224	316	1089
225	316	1085
226	317	1081
227	317	1076
228	318	1072
229	319	1069
230	320	1066
231	320	1062
232	321	1058
233	322	1054
234	322	1051
235	323	1047
236	324	1043
237	324	1039
238	325	1036
239	326	1032
240	326	1029
241	327	1025
242	328	1022
243	328	1018
244	329	1015
245	330	1012
246	331	1009
247	331	1005
248	332	1002
249	333	999
250	333	995
251	334	992
252	334	988
253	335	985
254	336	982
255	336	978
256	337	975
257	338	972
258	339	969
259	339	967
260	340	963
261	341	960
262	341	957
263	342	954
264	343	951
265	343	948
266	344	945
267	345	943
268	345	940
269	346	937
270	347	934
271	347	931
272	348	928
273	349	925
274	349	922
275	350	920
276	351	918
277	352	915
278	353	913
279	353	910
280	354	907
281	355	904
282	355	901
283	356	898
284	357	895
285	357	893
286	358	890
287	359	888
288	359	885
289	360	882
290	360	879
291	361	876
292	362	873
293	362	871
294	363	868
295	364	866
296	364	863
297	365	860
298	366	858
299	366	855
300	367	852
301	367	850
302	368	847
303	369	845
304	370	843
305	371	841
306	371	838
307	372	836
308	373	834
309	373	831
310	374	829
311	375	827
312	376	825
313	376	823
314	377	820
315	378	818
316	378	816
317	379	813
318	380	811
319	380	808
320	381	806
321	382	804
322	382	802
323	383	800
324	384	797
325	384	795
326	385	792
327	385	790
328	386	788
329	387	785
330	387	783
331	388	781
332	389	779
333	389	777
334	390	774
335	390	772
336	391	770
337	392	767
338	392	765
339	393	763
340	393	761
341	394	759
342	395	757
343	395	754
344	396	752
345	397	750
346	397	748
347	398	746
348	398	744
349	399	741
350	399	739
351	400	737
352	401	735
353	401	733
354	402	730
355	402	728
356	403	726
357	404	724
358	404	722
359	405	720
360	405	718
361	406	716
362	406	714
363	407	712
364	408	710
365	408	708
366	409	706
367	410	704
368	410	702
369	411	699
370	411	697
371	412	695
372	412	694
373	413	692
374	414	690
375	414	688
376	415	686
377	416	684
378	416	682
379	417	680
380	417	678
381	418	676
382	419	675
383	419	673
384	420	671
385	420	669
386	421	667
387	422	665
388	422	663
389	423	662
390	423	660
391	424	658
392	425	656
393	425	654
394	426	653
395	426	651
396	427	649
397	428	647
398	428	645
399	429	643
400	429	641
401	430	640
402	430	638
403	431	636
404	432	634
405	432	633
406	433	631
407	434	629
408	434	628
409	435	626
410	435	624
411	436	622
412	436	621
413	437	619
414	438	617
415	438	616
416	439	614
417	440	612
418	440	611
419	441	609
420	441	607
421	442	605
422	442	604
423	443	602
424	444	600
425	444	599
426	445	597
427	446	596
428	446	594
429	447	592
430	447	591
431	448	589
432	448	587
433	449	586
434	450	585
435	451	583
436	452	582
437	452	580
438	453	579
439	453	577
440	454	575
441	454	574
442	455	572
443	456	571
444	456	569
445	457	568
446	458	566
447	458	565
448	459	563
449	460	562
450	460	560
451	461	559
452	461	557
453	462	556
454	463	554
455	463	553
456	464	551
457	465	550
458	465	549
459	466	547
460	467	546
461	467	544
462	468	543
463	469	541
464	469	540
465	470	539
466	471	537
467	471	536
468	472	535
469	473	533
470	473	532
471	474	530
472	475	529
473	476	528
474	476	526
475	477	525
476	478	524
477	478	522
478	479	521
479	480	520
480	480	518
481	481	517
482	482	516
483	482	514
484	483	513
485	484	512
486	484	510
487	485	509
488	486	508
489	486	506
490	487	505
491	488	504
492	489	502
493	489	501
494	490	500
495	491	499
496	492	498
497	492	496
498	493	495
499	494	494
500	494	492
501	495	491
502	496	490
503	497	489
504	497	487
505	498	486
506	499	485
507	500	484
508	501	483
509	501	482
510	502	481
511	503	479
512	504	478
513	504	477
514	505	476
515	506	475
516	507	474
517	508	472
518	508	471
519	509	470
520	510	469
521	511	467
522	511	466
523	512	465
524	513	464
525	514	463
526	514	462
527	515	460
528	516	459
529	517	458
530	517	457
531	518	456
532	519	454
533	519	453
534	520	452
535	521	451
536	522	450
537	522	449
538	523	447
539	524	446
540	524	445
541	525	444
542	526	443
543	527	442
544	528	440
545	528	439
546	529	438
547	530	437
548	530	436
549	531	435
550	532	434
551	533	432
552	534	431
553	535	430
554	535	429
555	536	428
556	537	427
557	538	426
558	539	425
559	539	424
560	540	422
561	541	421
562	541	420
563	542	419
564	543	418
565	544	417
566	544	416
567	545	415
568	546	414
569	547	412
570	548	411
571	549	410
572	549	409
573	550	408
574	551	407
575	552	406
576	553	405
577	553	404
578	554	403
579	555	402
580	556	401
581	556	399
582	557	398
583	558	397
584	559	396
585	559	395
586	560	394
587	561	393
588	561	392
589	562	390
590	563	389
591	563	388
592	564	387
593	565	386
594	566	385
595	566	384
596	567	382
597	567	381
598	568	380
599	569	379
600	570	378
601	570	377
602	571	376
603	572	375
604	573	374
605	573	373
606	574	371
607	574	370
608	575	369
609	576	368
610	577	367
611	577	366
612	578	365
613	579	364
614	580	363
615	580	362
